Session,GlobalIndex,LocalIndex,TargetChar,AngleX,AngleY,UserInput,IsCorrect,FontSize,SpawnZone,,,,,,
14,122,5,T,23.28,0.35,NotVisible,FALSE,6.5,Middle-Center,,,,,,
14,123,6,O,49.41,0.26,NotVisible,FALSE,10.6,Middle-Right,,,,,,
14,124,7,C,-46.06,-35.25,C,TRUE,201,Bottom-Left,,,,,,
14,125,8,E,-5.06,-45.04,E,TRUE,122.9,Bottom-Center,,,,,,
14,126,9,F,54.62,-49.04,NotVisible,FALSE,28.3,Bottom-Right,,,,,,
15,127,1,P,-47.88,34.45,NotVisible,FALSE,201,Top-Left,,,,,,
15,128,2,L,-7.45,21.97,L,TRUE,6.5,Top-Center,,,,,,
15,129,3,Z,49.36,34.89,NotVisible,FALSE,201,Top-Right,,,,,,
15,130,4,C,-49.08,0.77,NotVisible,FALSE,46.1,Middle-Left,,,,,,
15,131,5,F,17.85,-21.89,NotVisible,FALSE,10.6,Middle-Center,,,,,,
15,132,6,E,46.2,-0.3,E,TRUE,122.9,Middle-Right,,,,,,
15,133,7,O,-33.12,-48.29,NotVisible,FALSE,28.3,Bottom-Left,,,,,,
15,134,8,T,1.22,-47.87,NotVisible,FALSE,75.3,Bottom-Center,,,,,,
15,135,9,D,52.14,-51.38,NotVisible,FALSE,28.3,Bottom-Right,,,,,,
16,136,1,O,-38.18,34.37,NotVisible,FALSE,122.9,Top-Left,,,,,,
16,137,2,P,20.49,38.26,NotVisible,FALSE,6.5,Top-Center,,,,,,
16,138,3,Z,36.55,26.98,NotVisible,FALSE,10.6,Top-Right,,,,,,
16,139,4,T,-27.41,-17.47,T,TRUE,28.3,Middle-Left,,,,,,
16,140,5,E,-9.38,-6.37,E,TRUE,46.1,Middle-Center,,,,,,
16,141,6,L,31.95,-3.11,L,TRUE,201,Middle-Right,,,,,,
16,142,7,D,-36.58,-39.02,NotVisible,FALSE,75.3,Bottom-Left,,,,,,
16,143,8,F,13.8,-45.04,F,TRUE,201,Bottom-Center,,,,,,
16,144,9,C,37,-31.3,NotVisible,FALSE,46.1,Bottom-Right,,,,,,
17,145,1,E,-29.71,37.5,E,TRUE,201,Top-Left,,,,,,
17,146,2,T,-13.11,30.71,NotVisible,FALSE,28.3,Top-Center,,,,,,
17,147,3,Z,34.17,35.68,NotVisible,FALSE,6.5,Top-Right,,,,,,
17,148,4,L,-32.95,8.4,NotVisible,FALSE,6.5,Middle-Left,,,,,,
17,149,5,D,3.21,-10.6,D,TRUE,46.1,Middle-Center,,,,,,
17,150,6,C,47.52,0.47,C,TRUE,75.3,Middle-Right,,,,,,
17,151,7,F,-35.8,-48.03,NotVisible,FALSE,122.9,Bottom-Left,,,,,,
17,152,8,P,-8.16,-50.73,NotVisible,FALSE,10.6,Bottom-Center,,,,,,
17,153,9,O,26.17,-35.4,NotVisible,FALSE,10.6,Bottom-Right,,,,,,
18,154,1,O,-53.44,14.75,NotVisible,FALSE,17.3,Top-Left,,,,,,
18,155,2,C,-6.84,20.7,NotVisible,FALSE,28.3,Top-Center,,,,,,
18,156,3,P,49.94,18.37,NotVisible,FALSE,46.1,Top-Right,,,,,,
18,157,4,E,-48.14,8.45,NotVisible,FALSE,10.6,Middle-Left,,,,,,
18,158,5,F,22.32,-22.38,F,TRUE,28.3,Middle-Center,,,,,,
